"","sample_city_name","sample_site_name","sample_site_code","ons_site_name","grid_reference_east","grid_reference_north","grab_compo_ind"
"262","","NORTH WARRINGTON   STW","UKENNW_UU_TP000124","",358039,386891,"Composite"
"264","","PLYMOUTH (CAMELS HEAD) STW","UKENSW_SWS_TP000056","",245476,56957,"Grab"
"267","Greater Manchester","Oldham Mills Hill","UU-OMG","",NA,NA,"Unspecified"
"269","Newcastle","Newcastle - Lower Ouseburn","NW-LOB","",426993,565154,"Grab"
"272","","WISBECH WEST WALTON STW","UKENAN_AW_TP000293","",545869,314163,"Grab"
"274","Greater Manchester","Stockport North","UU-SKN","",NA,NA,"Grab"
"278","","LONDON (Crawley STW)","UKENTH_TWU_TP000050","",528799,140201,"Grab"
"280","","STOKE ON TRENT (STRONGFORD) STW","UKENMI_ST_TP000207","",387819,339051,"Grab"
"281","","BASINGSTOKE, WILDMOOR, BASINGST STW""","UKENTH_TWU_TP000013","BASINGSTOKE, WILDMOOR, BASINGST STW""",467999,155201,"Grab"
"282","","ANWICK STW","UKENAN_AW_TP000004","",511489,350004,"Grab"
"286","Bristol","Whitchurch and Brislington","WW-WCB","",355440,176726,"Grab"
"287","Leeds","Killingbeck, Seacroft Hospital","YW-KIL","",434416,434161,"Unspecified"
"288","","EAST HASTINGS, BEXHILL   STW""","UKENSO_SW_TP000091","",576559,109381,"Composite"
"291","Greater London","LONDON (Riverside STW)","UKENTH_TWU_TP000125","LONDON (Riverside STW)",551499,181901,"Composite"
"294","Nottingham","Sneinton","ST-SNE","",NA,NA,"Grab"
"295","Leeds","Laisterdyke, Delph End, Hillfoot","YW-LDH","",423850,432454,"Grab"
"296","","BANBURY, SPITAL FARM, BANBURY, STW""","UKENTH_TWU_TP000012","",446953,240274,"Grab"
"298","Newcastle","Newcastle -Heaton","NW-HTN","",428246,567131,"Grab"
"299","Greater London","LONDON (Beddington STW)","UKENTH_TWU_TP000015","LONDON (Beddington STW)",529519,166319,"Grab"
"301","Newcastle","Newcastle - Newburn","NW-NBN","",415652,566676,"Grab"
"302","","STAMFORD STW","UKENAN_AW_TP000248","",507099,306497,"Grab"
"304","Greater Manchester","Oldham Lowside","UU-OLW","",NA,NA,"Grab"
"305","Liverpool","Park Street","UU-PST","",NA,NA,"Grab"
"306","Greater London","Watkin Road, Wembley Sewer","TW-WRW","",NA,NA,"Grab"
"307","Bristol","Emersons Green, Mangotsfield","WW-EGM","",NA,NA,"Grab"
