sample_city_name,sample_site_name,sample_site_code,ons_site_name,grid_reference_east,grid_reference_north,grab_compo_ind
Bristol,St George,WW-STG,,361749,173663,Grab
Sheffield,"Swallownest, Aughton",YW-NFO,,445121,384917,Grab
,"SLOUGH, WOOD STW""",UKENTH_TWU_TP000133,,494299,179201,Grab
Cornwall G7,Hayle East Quay,SWS-HYL,,155500,37865,Grab
,NEWMARKET STW,UKENAN_AW_TP000194,,563383,267160,Grab
,BURTON ON TRENT   STW,UKENMI_ST_TP000056,,426849,325511,Grab
,YORK (NABURN) STW,UKENNE_YW_TP000029,,460089,447151,Grab
,ERNESETTLE AND SALTASH   STW,UKENSW_SWS_TP000022,,244599,60101,Composite
Leeds,"Little London, Sheepscar, Woodhouse Carr",YW-LLP,,430889,434428,Unspecified
,STROUD STW,UKENMI_ST_TP000208,,378889,204891,Grab
,SOHAM STW,UKENAN_AW_TP000237,,558102,274464,Grab
Leeds,Beeston Hill,YW-BHL,,430119,431880,Grab
Greater London,Enfield Aspen Way,TW-ASP,,535691,199563,Grab
,SHEFFIELD (WOODHOUSE MILL) STW,UKENNE_YW_TP000141,,443369,385781,Grab
,THETFORD STW,UKENAN_AW_TP000261,,585582,283663,Grab
